,Dish Scoring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Core Drivers,South Asian / Indian Curry,2.9,1.1,,74%,"Work with Bills, Leon to introduce curry menu
Add new Indian rx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Biryani,2.5,1.0,,79%,"Work with Bills, Leon to introduce curry menu
Add new Indian rx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pho,2.0,1.1,,48%,Work with Asian providers to add pho and make menu more similar to pho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sushi,1.5,1.0,,63%,Work with Asian providers to add sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Katsu,1.2,1.0,,5%,Small gap - deprioritise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rice Bowl,1.2,1.0,,12%,Small gap - ensure all Asian providers have one rice role available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Noodles,1.2,1.0,,21%,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Preference Drivers,Shepherd's Pie,0.3,1.1,,57%,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fajitas,0.4,1.1,,68%,Small gap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,East Asian Curry,0.9,1.0,,3%,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grain Bowl,0.7,1.0,,76%,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Shawarma,0.3,1.0,,57%,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Demand Boosters,Protein & Veg ,1.6,0.9,,93%,Work with multi-cuisine providers to ensure there's protein and veg option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pizza,1.0,0.9,,4%,Small gap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deprioritised,Lasagne,0.6,0.9,,66%,Deprioritised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pasta,0.6,0.9,,3%,Deprioritised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tacos,0.4,0.9,,84%,Deprioritised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Chilli,0.2,0.9,,68%,Deprioritised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Burrito / Burrito Bowl,0.1,#DIV/0!,,84%,Deprioritised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quesadilla,0.1,#DIV/0!,,99%,Deprioritised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Poke,0.1,#DIV/0!,,63%,Deprioritised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nachos,0.0,#DIV/0!,,85%,Deprioritised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Workings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dish Suitability Ratings hardpasted with commentary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dish,Rating,Already Include / Add / Exclude,Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cottage/Shepherd's/Fish Pie,4.4,Already included,Shepherd's Pie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Casserole / Stew,4.275,Add,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thai Curry (e.g. Red, Green, Massaman)",3.6,Already included,East Asian Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Risotto,3.6,Add,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Meat & vegetables (e.g. Roast, Grilled, Breaded)",3.525,Already included,Protein & Veg ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tagine,3.3,Add,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Paella,3.3,Add,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jerk Chicken,3.3,Already included?,Protein & Veg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Chilli & Rice (e.g. Con Carne, 3-Bean)",3.275,Already included,Chilli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lasagne,3.275,Already included,Lasagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Pastry Pie (e.g. Chicken, Steak, Beef, Veggie)",3.225,Add,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Curry & Rice (e.g. Tikka, korma, butter chicken)",3.15,Already included,Indian Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tacos / Enchiladas / Quesadillas,3.15,Already included,Tacos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Meat & Chips (e.g. Steak, Chicken)",3.15,Already included?,Protein & Veg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stroganoff,3.05,Already included?,Protein & Veg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Burger & Chips (e.g. Beef, Chicken, Veggie)",3.025,Don't add - too unhealthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jacket potato,2.9,Add,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sausage & mash,2.9,Add,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Katsu Curry,2.85,Already included,Katsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Baked Pasta (e.g. Chicken, Tuna, Tomato)",2.775,Already included,Pasta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cajun Chicken,2.725,Included?,Protein & Veg ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thai Noodles (e.g. Pad Thai),2.725,Already included,Noodles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Chicken (e.g. Sweet & Sour, Sweet Chilli)",2.65,Included?,Protein & Veg ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Piri-piri / Peri Peri,2.6,Included?,Protein & Veg ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fajitas / Burritos,2.525,Already included,"Fajitas, Burritos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rice bowl / fried rice,2.525,Already included,Rice bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fish & chips,2.525,Add,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Soup,2.475,Exclude - not filling enough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Boiled Pasta (e.g. Bolognese, Tomato, Pesto, Cheese)",2.275,Already included,Pasta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stir fry / Noodles,2.275,Already included,Noodles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ramen,2.175,Already included,Ramen / Pho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pizza,2.025,Already included,Pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Filled Pasta (e.g. Raviolli, Tortellini)",1.975,Exclude - <2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gnocchi,1.8,Exclude - <2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cous Cous,1.55,Exclude - <2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sandwich / Toastie,1.1,Exclude - <2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Post Order Survey Cleaned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Meal Satisfaction Score,,,,,,n > 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Did not enjoy it,Neutral,Liked it,Loved it,,% Liked or Loved It,% Loved It,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pasta,5,14,29,38,,78%,44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rice Bowl,10,8,45,49,,84%,44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grain Bowl,4,4,22,28,,86%,48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Noodles,2,7,29,40,,88%,51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Asian / Indian Curry,1,10,52,101,,93%,62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Asian Curry,6,14,55,74,,87%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Katsu,15,21,118,121,,87%,44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Biryani,1,4,22,26,,91%,49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pizza,7,8,39,25,,81%,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fried Rice,4,2,11,11,,79%,39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Protein & Veg ,1,4,8,4,,71%,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chilli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fajitas,0,1,12,12,,96%,48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lasagne,4,6,20,13,,77%,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shawarma,1,2,15,12,,90%,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tacos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Burrito / Burrito Bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Quesadilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nachos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pho,3,7,51,64,,92%,51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Poke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shepherd's Pie,0,1,2,8,,91%,73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sushi,1,1,15,13,,93%,43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65,114,545,639,,87%,47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Repeat Intent Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,,% Agree or Strongly Agree,% Strongly Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pasta,6,10,11,35,24,,74%,56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rice Bowl,7,10,20,38,37,,77%,51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grain Bowl,4,0,12,24,18,,90%,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Noodles,2,4,11,31,30,,88%,65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Asian / Indian Curry,5,8,14,61,76,,85%,69%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Asian Curry,7,9,18,67,48,,84%,66%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Katsu,17,10,35,117,96,,85%,65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Biryani,3,3,12,18,17,,83%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pizza,4,11,7,39,18,,75%,64%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fried Rice,3,1,2,15,7,,81%,71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Protein & Veg ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chilli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fajitas,0,0,2,16,7,,100%,89%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lasagne,3,5,5,19,11,,75%,59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shawarma,1,2,6,12,9,,86%,57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tacos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Burrito / Burrito Bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Quesadilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nachos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pho,6,2,17,50,50,,89%,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Poke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shepherd's Pie,0,0,1,3,7,,100%,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sushi,1,2,3,10,14,,81%,63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,69,77,176,555,469,,83%,63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,