,Onboarded Sites,,,,,,,
,,,,,,,,
,,,,,,,,
,Source,https://docs.google.com/spreadsheets/d/1xXlnLsxweaGSdWNXy65PnSYpX88U50IskttHrJrbs9M/edit?gid=0#gid=0,,,,,,
,,Filter G > Yes,,,,,,
,,,,,,,,
,Site Phase,Rx ID,Rx Site,Brand,Px Agreed to Site?,Site Onboarded?,,
,Existing Sites (P1 & P2 Launch),23512,0131 - Fulham - 363 Fulham Road - PizzaExpress,PizzaExpress,Yes,Yes,,6
,Existing Sites (P1 & P2 Launch),23527,0141 - London - Notting Hill Gate - PizzaExpress,PizzaExpress,Yes,Yes,,6
,Existing Sites (P1 & P2 Launch),23502,0191 - Clapham - Lavender Hill - PizzaExpress,PizzaExpress,Yes,Yes,,11
,Existing Sites (P1 & P2 Launch),22725,0201 - Teddington - Waldegrave Road - PizzaExpress,PizzaExpress,Yes,Yes,,8
,Existing Sites (P1 & P2 Launch),22908,0231 - Highgate - High Street - PizzaExpress,PizzaExpress,Yes,Yes,,8
,Existing Sites (P1 & P2 Launch),23513,0241 - Fulham - 895 Fulham Road - PizzaExpress,PizzaExpress,Yes,Yes,,13
,Existing Sites (P1 & P2 Launch),24221,0251 - Oxford - Golden Cross - PizzaExpress,PizzaExpress,Yes,Yes,,4
,Existing Sites (P1 & P2 Launch),49140,0271 - South Woodford - High Road - PizzaExpress,PizzaExpress,Yes,Yes,,12
,Existing Sites (P1 & P2 Launch),22715,0311 - Wimbledon - High Street - PizzaExpress,PizzaExpress,Yes,Yes,,8
,Existing Sites (P1 & P2 Launch),23496,0341 - Beckenham - High Street - PizzaExpress,PizzaExpress,Yes,Yes,,12
,Existing Sites (P1 & P2 Launch),23497,0351 - Bromley - Widmore Road - PizzaExpress,PizzaExpress,Yes,Yes,,10
,Existing Sites (P1 & P2 Launch),29638,0381 - Bath - Theatre Royal - PizzaExpress,PizzaExpress,Yes,Yes,,7
,Existing Sites (P1 & P2 Launch),77924,0391 - Basingstoke - Winchester Road - PizzaExpress,PizzaExpress,Yes,Yes,,4
,Existing Sites (P1 & P2 Launch),22718,0401 - Richmond - Red Lion Street - PizzaExpress,PizzaExpress,Yes,Yes,,6
,Existing Sites (P1 & P2 Launch),45247,0411 - Camberley - Park Street - PizzaExpress,PizzaExpress,Yes,Yes,,7
,Existing Sites (P1 & P2 Launch),45909,0421 - Chichester - South Street - PizzaExpress,PizzaExpress,Yes,Yes,,5
,Existing Sites (P1 & P2 Launch),21519,0441 - Nottingham - King Street - PizzaExpress,PizzaExpress,Yes,Yes,,8
,Existing Sites (P1 & P2 Launch),29205,0461 - Canterbury - Best Lane - PizzaExpress,PizzaExpress,Yes,Yes,,5
,Existing Sites (P1 & P2 Launch),22776,0501 - Belfast - Bedford Street - PizzaExpress,PizzaExpress,Yes,Yes,,6
,Existing Sites (P1 & P2 Launch),22726,0531 - Twickenham - York Street - PizzaExpress,PizzaExpress,Yes,Yes,,6
,Existing Sites (P1 & P2 Launch),55045,0541 - Colchester - St Runwald Street - PizzaExpress,PizzaExpress,Yes,Yes,,4
,Existing Sites (P1 & P2 Launch),21518,0551 - Guildford - High Street - PizzaExpress,PizzaExpress,Yes,Yes,,5
,Existing Sites (P1 & P2 Launch),24846,0571 - York - Museum Street - PizzaExpress,PizzaExpress,Yes,Yes,,9
,Existing Sites (P1 & P2 Launch),35303,0591 - Reigate - High Street - PizzaExpress,PizzaExpress,Yes,Yes,,5
,Existing Sites (P1 & P2 Launch),46789,0601 - Walton on Thames - New Zealand Avenue - PizzaExpress,PizzaExpress,Yes,Yes,,7
,Existing Sites (P1 & P2 Launch),48847,0621 - Stanmore - Broadway - PizzaExpress,PizzaExpress,Yes,Yes,,6
,Existing Sites (P1 & P2 Launch),23135,0631 - Norwich - St Benedict Street - PizzaExpress,PizzaExpress,Yes,Yes,,13
,Existing Sites (P1 & P2 Launch),28964,0641 - Chelmsford - Moulsham Street - PizzaExpress,PizzaExpress,Yes,Yes,,9
,Existing Sites (P1 & P2 Launch),22915,0651 - Belsize Park - Haverstock Hill - PizzaExpress,PizzaExpress,Yes,Yes,,13
,Existing Sites (P1 & P2 Launch),23505,0671 - Ealing - Bond Street - PizzaExpress,PizzaExpress,Yes,Yes,,10
,Existing Sites (P1 & P2 Launch),24189,0711 - Leamington Spa - The Parade - PizzaExpress,PizzaExpress,Yes,Yes,,8
,Existing Sites (P1 & P2 Launch),26375,0741 - Tunbridge Wells - High Street - PizzaExpress,PizzaExpress,Yes,Yes,,5
,Existing Sites (P1 & P2 Launch),53763,0751 - Hitchin - Market Place - PizzaExpress,PizzaExpress,Yes,Yes,,5
,Existing Sites (P1 & P2 Launch),22909,0761 - London - Baker Street - PizzaExpress,PizzaExpress,Yes,Yes,,8
,Existing Sites (P1 & P2 Launch),186693,0771 - Farnham - Castle Street - PizzaExpress,PizzaExpress,Yes,Yes,,8
,Existing Sites (P1 & P2 Launch),23501,0781 - Clapham - Abbeville Road - PizzaExpress,PizzaExpress,Yes,Yes,,5
,Existing Sites (P1 & P2 Launch),49414,0811 - Southgate - Chaseside - PizzaExpress,PizzaExpress,Yes,Yes,,10
,Existing Sites (P1 & P2 Launch),98140,0871 - Eastbourne - Cornfield Road - PizzaExpress,PizzaExpress,Yes,Yes,,4
,Existing Sites (P1 & P2 Launch),23504,0931 - Dulwich - Village - PizzaExpress,PizzaExpress,Yes,Yes,,16
,Existing Sites (P1 & P2 Launch),358125,0961 - Henley - Market Place - PizzaExpress,PizzaExpress,Yes,Yes,,4
,Existing Sites (P1 & P2 Launch),180638,1051 - Wokingham - Broad Street - PizzaExpress,PizzaExpress,Yes,Yes,,4
,Existing Sites (P1 & P2 Launch),47516,1061 - Bexleyheath - Broadway - PizzaExpress,PizzaExpress,Yes,Yes,,11
,Existing Sites (P1 & P2 Launch),22917,1081 - Camden - Parkway - PizzaExpress,PizzaExpress,Yes,Yes,,9
,Existing Sites (P1 & P2 Launch),48841,1091 - Barnet - High Street - PizzaExpress,PizzaExpress,Yes,Yes,,8
,Existing Sites (P1 & P2 Launch),7494,1113111 - Bella Italia Pizza & Pasta - Birmingham New Street,Bella Italia,Yes,Yes,,13
,Existing Sites (P1 & P2 Launch),11319,1113177 - Bella Italia Pizza & Pasta - Oxford George Street,Bella Italia,Yes,Yes,,5
,Existing Sites (P1 & P2 Launch),22719,1131 - East Sheen - Upper Richmond Road - PizzaExpress,PizzaExpress,Yes,Yes,,9
,Existing Sites (P1 & P2 Launch),48947,1141 - Epsom - South Street - PizzaExpress,PizzaExpress,Yes,Yes,,5
,Existing Sites (P1 & P2 Launch),22911,1181 - London - Islington - PizzaExpress,PizzaExpress,Yes,Yes,,8
,Existing Sites (P1 & P2 Launch),324248,1211 - Loughton - High Road - PizzaExpress,PizzaExpress,Yes,Yes,,6
,Existing Sites (P1 & P2 Launch),23520,1231 - Mill Hill - The Broadway - PizzaExpress,PizzaExpress,Yes,Yes,,10
,Existing Sites (P1 & P2 Launch),23525,1241 - Muswell Hill - Broadway - PizzaExpress,PizzaExpress,Yes,Yes,,12
,Existing Sites (P1 & P2 Launch),71226,1271 - Ruislip - High Street - PizzaExpress,PizzaExpress,Yes,Yes,,8
,Existing Sites (P1 & P2 Launch),25862,1281 - St Albans - Verulam Road - PizzaExpress,PizzaExpress,Yes,Yes,,4
,Existing Sites (P1 & P2 Launch),23531,1291 - Shepherds Bush - Rockley Road - PizzaExpress,PizzaExpress,Yes,Yes,,11
,Existing Sites (P1 & P2 Launch),24583,1351 - Watford - High Street - PizzaExpress,PizzaExpress,Yes,Yes,,7
,Existing Sites (P1 & P2 Launch),44382,1381 - Woking - Goldsworth Road - PizzaExpress,PizzaExpress,Yes,Yes,,5
,Existing Sites (P1 & P2 Launch),22714,1401 - Chiswick - High Road - PizzaExpress,PizzaExpress,Yes,Yes,,12
,Existing Sites (P1 & P2 Launch),22720,1411 - Putney - Upper Richmond Road - PizzaExpress,PizzaExpress,Yes,Yes,,10
,Existing Sites (P1 & P2 Launch),23541,1431 - Wandsworth - Trinity Road - PizzaExpress,PizzaExpress,Yes,Yes,,10
,Existing Sites (P1 & P2 Launch),26700,1441 - Windsor - Thames Street - PizzaExpress,PizzaExpress,Yes,Yes,,12
,Existing Sites (P1 & P2 Launch),301276,1451 - Radlett - Watling Street - PizzaExpress,PizzaExpress,Yes,Yes,,4
,Existing Sites (P1 & P2 Launch),22913,1471 - St Johns Wood - Abbey Road - PizzaExpress,PizzaExpress,Yes,Yes,,13
,Existing Sites (P1 & P2 Launch),270810,1541 - Tonbridge - High Street - PizzaExpress,PizzaExpress,Yes,Yes,,8
,Existing Sites (P1 & P2 Launch),23534,1561 - Stratford East - Theatre Square - PizzaExpress,PizzaExpress,Yes,Yes,,11
,Existing Sites (P1 & P2 Launch),48839,1571 - Banstead - High Street - PizzaExpress,PizzaExpress,Yes,Yes,,5
,Existing Sites (P1 & P2 Launch),24691,1581 - Cardiff - High Street - PizzaExpress,PizzaExpress,Yes,Yes,,8
,Existing Sites (P1 & P2 Launch),25141,1601 - London - Kings Road - PizzaExpress,PizzaExpress,Yes,Yes,,18
,Existing Sites (P1 & P2 Launch),36233,1611 - Horsham - East Street - PizzaExpress,PizzaExpress,Yes,Yes,,4
,Existing Sites (P1 & P2 Launch),46788,1631 - Weybridge - Monument Hill - PizzaExpress,PizzaExpress,Yes,Yes,,7
,Existing Sites (P1 & P2 Launch),47517,1651 - Sidcup - Elm Parade Shopping Centre - PizzaExpress,PizzaExpress,Yes,Yes,,10
,Existing Sites (P1 & P2 Launch),335082,1761 - Godalming - High Street - PizzaExpress,PizzaExpress,Yes,Yes,,3
,Existing Sites (P1 & P2 Launch),25143,1821 - London - Tower Bridge - PizzaExpress,PizzaExpress,Yes,Yes,,10
,Existing Sites (P1 & P2 Launch),23530,1831 - London - Pimlico - PizzaExpress,PizzaExpress,Yes,Yes,,9
,Existing Sites (P1 & P2 Launch),186702,1861 - Harpenden - High Street - PizzaExpress,PizzaExpress,Yes,Yes,,7
,Existing Sites (P1 & P2 Launch),23437,1891 - Didsbury - Lapwing Lane - PizzaExpress,PizzaExpress,Yes,Yes,,10
,Existing Sites (P1 & P2 Launch),25147,1901 - Blackheath - Tranquil Vale - PizzaExpress,PizzaExpress,Yes,Yes,,10
,Existing Sites (P1 & P2 Launch),23856,1951 - Hove - Church Road - PizzaExpress,PizzaExpress,Yes,Yes,,3
,Existing Sites (P1 & P2 Launch),172835,1961 - Maidenhead - Bridge Street - PizzaExpress,PizzaExpress,Yes,Yes,,7
,Existing Sites (P1 & P2 Launch),25144,1991 - London - London Bridge - PizzaExpress,PizzaExpress,Yes,Yes,,6
,Existing Sites (P1 & P2 Launch),23517,2011 - London - Kennington Road - PizzaExpress,PizzaExpress,Yes,Yes,,19
,Existing Sites (P1 & P2 Launch),23538,2031 - London - Victoria Street - PizzaExpress,PizzaExpress,Yes,Yes,,5
,Existing Sites (P1 & P2 Launch),71214,2131 - West Wickham - High Street - PizzaExpress,PizzaExpress,Yes,Yes,,8
,Existing Sites (P1 & P2 Launch),22721,2141 - Barnes - High Street - PizzaExpress,PizzaExpress,Yes,Yes,,5
,Existing Sites (P1 & P2 Launch),342869,2151 - Amersham - Sycamore Road - PizzaExpress,PizzaExpress,Yes,Yes,,4
,Existing Sites (P1 & P2 Launch),180635,2171 - Welwyn Garden City - Howardsgate - PizzaExpress,PizzaExpress,Yes,Yes,,4
,Existing Sites (P1 & P2 Launch),23358,2211 - Hale - Ashley Road - PizzaExpress,PizzaExpress,Yes,Yes,,4
,Existing Sites (P1 & P2 Launch),27038,2311 - Harborne - High Street - PizzaExpress,PizzaExpress,Yes,Yes,,13
,Existing Sites (P1 & P2 Launch),25148,2341 - Greenwich - Church Street - PizzaExpress,PizzaExpress,Yes,Yes,,23
,Existing Sites (P1 & P2 Launch),25145,2351 - London - Royal Festival Hall - PizzaExpress,PizzaExpress,Yes,Yes,,9
,Existing Sites (P1 & P2 Launch),25027,2531 - Leeds - Street Lane - PizzaExpress,PizzaExpress,Yes,Yes,,10
,Existing Sites (P1 & P2 Launch),22722,2551 - Wimbledon - The Broadway - PizzaExpress,PizzaExpress,Yes,Yes,,7
,Existing Sites (P1 & P2 Launch),186685,2601 - Newbury - Market Place - PizzaExpress,PizzaExpress,Yes,Yes,,5
,Existing Sites (P1 & P2 Launch),22918,2671 - London - Euston Road - PizzaExpress,PizzaExpress,Yes,Yes,,6
,Existing Sites (P1 & P2 Launch),22885,2701 - Portsmouth - Gunwharf Quays Designer Outlet - PizzaExpress,PizzaExpress,Yes,Yes,,7
,Existing Sites (P1 & P2 Launch),71227,2811 - Worcester Park - Central Road - PizzaExpress,PizzaExpress,Yes,Yes,,5
,Existing Sites (P1 & P2 Launch),48809,2831 - Romford - The Brewery Shopping Centre - PizzaExpress,PizzaExpress,Yes,Yes,,7
,Existing Sites (P1 & P2 Launch),280416,2851 - London - Bishopsgate - PizzaExpress,PizzaExpress,Yes,Yes,,24
,Existing Sites (P1 & P2 Launch),172833,2871 - Braintree - Designer Village - PizzaExpress,PizzaExpress,Yes,Yes,,7
,Existing Sites (P1 & P2 Launch),23118,2881 - Cambridge - Regent Street - PizzaExpress,PizzaExpress,Yes,Yes,,4
,Existing Sites (P1 & P2 Launch),23136,2901 - Norwich - Forum Events Centre - PizzaExpress,PizzaExpress,Yes,Yes,,10
,Existing Sites (P1 & P2 Launch),49211,2951 - Hampton Court - Creek Road - PizzaExpress,PizzaExpress,Yes,Yes,,6
,Existing Sites (P1 & P2 Launch),23175,3031 - Salford Quays - Designer Outlet - PizzaExpress,PizzaExpress,Yes,Yes,,8
,Existing Sites (P1 & P2 Launch),1116,"3113001 - Banana Tree Thai, Vietnamese, Vegan - Maida Vale",Banana Tree,Yes,Yes,,13
,Existing Sites (P1 & P2 Launch),421,"3113002 - Banana Tree Thai, Vietnamese, Vegan - West Hampstead",Banana Tree,Yes,Yes,,21
,Existing Sites (P1 & P2 Launch),474,"3113003 - Banana Tree Thai, Vietnamese, Vegan - Battersea",Banana Tree,Yes,Yes,,20
,Existing Sites (P1 & P2 Launch),148,"3113004 - Banana Tree Thai, Vietnamese, Vegan - Angel Islington",Banana Tree,Yes,Yes,,19
,Existing Sites (P1 & P2 Launch),19752,"3113007 - Banana Tree Thai, Vietnamese, Vegan - Milton Keynes The Hub",Banana Tree,Yes,Yes,,10
,Existing Sites (P1 & P2 Launch),11309,"3113008 - Banana Tree Thai, Vietnamese, Vegan - Oxford",Banana Tree,Yes,Yes,,6
,Existing Sites (P1 & P2 Launch),65811,"3113009 - Banana Tree Thai, Vietnamese, Vegan - Chelmsford",Banana Tree,Yes,Yes,,12
,Existing Sites (P1 & P2 Launch),528160,"3113010 - Banana Tree Thai, Vietnamese, Vegan - Covent Garden",Banana Tree,Yes,Yes,,16
,Existing Sites (P1 & P2 Launch),544614,"3113011 - Banana Tree Thai, Vietnamese, Vegan - London The O2",Banana Tree,Yes,Yes,,18
,Existing Sites (P1 & P2 Launch),549925,"3113013 - Banana Tree Thai, Vietnamese, Vegan - Reigate",Banana Tree,Yes,Yes,,6
,Existing Sites (P1 & P2 Launch),575909,"3113014 - Banana Tree Thai, Vietnamese, Vegan - Windsor",Banana Tree,Yes,Yes,,15
,Existing Sites (P1 & P2 Launch),575907,"3113015 - Banana Tree Thai, Vietnamese, Vegan - Birmingham Bullring",Banana Tree,Yes,Yes,,15
,Existing Sites (P1 & P2 Launch),592325,"3113016 - Banana Tree Thai, Vietnamese, Vegan - Greenwich",Banana Tree,Yes,Yes,,29
,Existing Sites (P1 & P2 Launch),590532,"3113017 - Banana Tree Thai, Vietnamese, Vegan - Bath",Banana Tree,Yes,Yes,,8
,Existing Sites (P1 & P2 Launch),591432,"3113018 - Banana Tree Thai, Vietnamese, Vegan - Henley",Banana Tree,Yes,Yes,,5
,Existing Sites (P1 & P2 Launch),612279,3113019 - Banana Tree Thai - Vietnamese - Vegan - Salford Quays,Banana Tree,Yes,Yes,,14
,Existing Sites (P1 & P2 Launch),620079,3113020 - Banana Tree Thai Vietnamese Vegan - Portsmouth Gunwharf Quays,Banana Tree,Yes,Yes,,9
,Existing Sites (P1 & P2 Launch),647418,3113021 - Banana Tree Thai Vietnamese Vegan - Stevenage,Banana Tree,Yes,Yes,,7
,Existing Sites (P1 & P2 Launch),22928,3203 - London - Clerkenwell Road - PizzaExpress,PizzaExpress,Yes,Yes,,6
,Existing Sites (P1 & P2 Launch),22723,3204 - Kew - Station Approach - Pizza Express,PizzaExpress,Yes,Yes,,7
,Existing Sites (P1 & P2 Launch),23522,3210 - London - Millbank - PizzaExpress,PizzaExpress,Yes,Yes,,3
,Existing Sites (P1 & P2 Launch),170451,3210 - Prezzo Braintree,Prezzo,Yes,Yes,,4
,Existing Sites (P1 & P2 Launch),277504,3211 - Prezzo - Port Solent,Prezzo,Yes,Yes,,10
,Existing Sites (P1 & P2 Launch),24692,3213 - Cardiff - Mermaid Quay - PizzaExpress,PizzaExpress,Yes,Yes,,8
,Existing Sites (P1 & P2 Launch),21643,3219 - Belfast - Lisburn Road - PizzaExpress,PizzaExpress,Yes,Yes,,8
,Existing Sites (P1 & P2 Launch),28441,3220 - Warwick - Jury Street - PizzaExpress,PizzaExpress,Yes,Yes,,8
,Existing Sites (P1 & P2 Launch),25146,3223 - London - Bankside - PizzaExpress,PizzaExpress,Yes,Yes,,9
,Existing Sites (P1 & P2 Launch),172336,3225 - Birmingham - Bullring Shopping Centre - PizzaExpress,PizzaExpress,Yes,Yes,,9
,Existing Sites (P1 & P2 Launch),10186,3228 - Prezzo - Reading,Prezzo,Yes,Yes,,6
,Existing Sites (P1 & P2 Launch),23491,3229 - Balham - Bedford Hill - PizzaExpress,PizzaExpress,Yes,Yes,,8
,Existing Sites (P1 & P2 Launch),25077,3229 - Prezzo - The Promenade,Prezzo,Yes,Yes,,13
,Existing Sites (P1 & P2 Launch),22929,3230 - London - Tower Hill - PizzaExpress,PizzaExpress,Yes,Yes,,10
,Existing Sites (P1 & P2 Launch),36364,3233 - Hemel Hempstead - Riverside - PizzaExpress,PizzaExpress,Yes,Yes,,3
,Existing Sites (P1 & P2 Launch),3808,3234 - Prezzo Pasta & Pizza – Euston,Prezzo,Yes,Yes,,15
,Existing Sites (P1 & P2 Launch),22871,3236 - West Bridgford - Bridgford Road - PizzaExpress,PizzaExpress,Yes,Yes,,12
,Existing Sites (P1 & P2 Launch),554482,3240 - Milton Keynes - Centre MK - PizzaExpress,PizzaExpress,Yes,Yes,,9
,Existing Sites (P1 & P2 Launch),10702,3240 - Prezzo - Bournemouth,Prezzo,Yes,Yes,,5
,Existing Sites (P1 & P2 Launch),23857,3245 - Brighton - Marina - PizzaExpress,PizzaExpress,Yes,Yes,,5
,Existing Sites (P1 & P2 Launch),46787,3248 - Esher - High Street - PizzaExpress,PizzaExpress,Yes,Yes,,8
,Existing Sites (P1 & P2 Launch),155440,3252 - Braehead - Xscape - PizzaExpress,PizzaExpress,Yes,Yes,,20
,Existing Sites (P1 & P2 Launch),49180,3252 - Prezzo - Enfield,Prezzo,Yes,Yes,,14
,Existing Sites (P1 & P2 Launch),25157,3258 - London - St Pauls - PizzaExpress,PizzaExpress,Yes,Yes,,3
,Existing Sites (P1 & P2 Launch),26177,3259 - Reading - Oracle Shopping Centre - PizzaExpress,PizzaExpress,Yes,Yes,,7
,Existing Sites (P1 & P2 Launch),29676,3262 - Prezzo - Cheam,Prezzo,Yes,Yes,,10
,Existing Sites (P1 & P2 Launch),382703,3276 Prezzo - Godalming,Prezzo,Yes,Yes,,3
,Existing Sites (P1 & P2 Launch),186697,3281 - Fleet - Fleet Road - PizzaExpress,PizzaExpress,Yes,Yes,,5
,Existing Sites (P1 & P2 Launch),24687,3284 - Bristol - Harbourside - PizzaExpress,PizzaExpress,Yes,Yes,,14
,Existing Sites (P1 & P2 Launch),29675,3286 - Cheam - Ewell Road - PizzaExpress,PizzaExpress,Yes,Yes,,3
,Existing Sites (P1 & P2 Launch),29665,3294 - Prezzo - Canterbury,Prezzo,Yes,Yes,,4
,Existing Sites (P1 & P2 Launch),2222,3295 - Prezzo - Brighton,Prezzo,Yes,Yes,,4
,Existing Sites (P1 & P2 Launch),27257,3296 - Prezzo - Harrow,Prezzo,Yes,Yes,,14
,Existing Sites (P1 & P2 Launch),22775,3303 - Belfast - Victoria Square Shopping Centre - PizzaExpress,PizzaExpress,Yes,Yes,,6
,Existing Sites (P1 & P2 Launch),49074,3308 - Prezzo - Hornchurch,Prezzo,Yes,Yes,,9
,Existing Sites (P1 & P2 Launch),23752,3311 - Edinburgh - George IV Bridge - PizzaExpress,PizzaExpress,Yes,Yes,,11
,Existing Sites (P1 & P2 Launch),23516,3320 - Brockwell Park - Herne Hill - PizzaExpress,PizzaExpress,Yes,Yes,,10
