response_text,matched_dish_types,matched_cuisines,is_cuisine_only,is_unmapped
Pasta dishes like lasagne,Pasta; Lasagne,Italian,False,False
"Lasagne, cottage pie",Lasagne; Shepherd's Pie,Italian; British,False,False
Tacos  Caribbean  Chinese  ,Tacos,Chinese; Mexican; Caribbean / African,False,False
More pizza /pasta combos. More Chinese options,Pasta; Pizza,Chinese; Italian,False,False
More options to change the kids sides and especially for me a clearer indication of gluten free options (kid coeliac and another gluten intolerant) ,,,False,True
"Lasagne, cottage pie and pasta dishes",Pasta; Lasagne; Shepherd's Pie,Italian; British,False,False
Option from each type of cuisine/restaurant,,,False,True
"Kosher, Mexican, Dim Sum, Israeli",,Chinese; Mexican,True,False
Dairy free options / plant based / can have choices for example I was wanting to order from Cocotte; but their Caesar salad had cheese it will be great if i can have the option to opt out the cheese / have it on the side. I also assumed it has cheese for Caesar salad as that's the norm. My husband doesn't eat cheese hence the reason. ,,Healthy / Veg,True,False
"Mexican cuisine, vegan options",,Mexican; Healthy / Veg,True,False
Chinese Indian,,Chinese; Indian,True,False
Pasta or Caribbean ,Pasta,Italian; Caribbean / African,False,False
Greek  Mexican  ,,Mexican,True,False
"Pakistani, fish and chips",,,False,True
Asian Kid friendly Fish and chips ,,Asian (general),True,False
Quick food ,,,False,True
"Japanese, Arabic",,Asian (general); Japanese,True,False
Vegetarian / vegan options,,Healthy / Veg,True,False
Chinese cuisines ,,Chinese,True,False
I would have liked to have seen more vegetarian options. ,,Healthy / Veg,True,False
"Asian food - Thai, Korean, Chinese ",,Chinese; Asian (general); Thai; Korean,True,False
Burgers and Thai ,,Asian (general); Thai; Burgers / Chicken,True,False
More family choices the meal options aren't friendly enough for children with eating difficulties ,,,False,True
Healthy meals for kids ,,Healthy / Veg,True,False
Fish and chips Indian Chinese ,,Chinese; Indian,True,False
Caribbean ,,Caribbean / African,True,False
Halal and more fast food places that sell pizzas and burgers.,,Burgers / Chicken,True,False
Pizza  Burgers Healthy options Pasta options ,Pasta; Pizza,Italian; Burgers / Chicken; Healthy / Veg,False,False
It would be nice to see a combo of vegetarian and non-vegetarian.,,Healthy / Veg,True,False
More combinations of vegetarian and non vegetarian ,,Healthy / Veg,True,False
"Sushi, pasta",Pasta; Sushi,Italian; Japanese,False,False
"Healthier options, some more proper midweek meals, less curries etc for fussy kids! ",,,False,True
More fish/healthy options ,,Healthy / Veg,True,False
More family friendly options,,,False,True
Just more vegetarian option s,,Healthy / Veg,True,False
Just a broader range. The breadth is one of the great things about Deliveroo.,,,False,True
Ramen,Noodles,,False,False
"Chinese, Indian, pizza, kebab",Pizza; Shawarma,Chinese; Indian; Italian; Middle Eastern,False,False
"Indian, healthy salads etc, sushi",Sushi,Indian; Japanese; Healthy / Veg,False,False
Places like TGI Fridays more traditional English food as well more healthier options,,,False,True
"African, Caribbean, vegan",,Healthy / Veg; Caribbean / African,True,False
Starter bundles. Sharers,,,False,True
I know there are lots of salad options but would be nice to have a look at more Asian food or Indian food that you could get for 4 people under £25 ,,Indian; Asian (general); Healthy / Veg,True,False
Meals,,,False,True
Noodle choices such as udon noodle or yaki soba ,Noodles,,False,False
Chinese,,Chinese,True,False
More vegetarian options ,,Healthy / Veg,True,False
More healthy options  Not just pasta/pizza and Indian cuisine ( which I really like by the way ) ,Pasta; Pizza,Indian; Italian; Healthy / Veg,False,False
"Indian, Chinese…",,Chinese; Indian,True,False
Vegetarian - Indian paneer etc ,,Indian; Healthy / Veg,True,False
Indian. Chinese,,Chinese; Indian,True,False
Curry's ,South Asian / Indian Curry,Indian,False,False
"Indian, Wahaca, Pizza, Italian, Wagamama",Pizza,Indian; Italian; Mexican,False,False
Vietnamese but to be able to choose the dishes and not be a set option,,Asian (general); Vietnamese,True,False
african food ,,Caribbean / African,True,False
More full meals with drinks and sides included,,,False,True
Chinese Indian Fish and chips ,,Chinese; Indian,True,False
"Indian, pizza",Pizza,Indian; Italian,False,False
"Korean, Indian",,Indian; Asian (general); Korean,True,False
"Chicken, rice and veg cooked without lots of unnecessary ingredients and preservatives.  Roast dinner. ",Protein & Veg,British,False,False
"More Rice dishes, chicken, pizza",Pizza,Italian,False,False
"Burgers, Chinese and Mexican",,Chinese; Mexican; Burgers / Chicken,True,False
"Indian, Italian ",,Indian; Italian,True,False
more ramen,Noodles,,False,False
Just as many options as possible ,,,False,True
Halal,,,False,True
"More options within each restaurant to mix e.g. in wagamama it's all katsu or all raisu curry, can't choose a mix.",South Asian / Indian Curry; East Asian Curry; Katsu,Indian; Japanese,False,False
I like Vietnamese so pho is good but I didn't like how you couldn't mix and match dishes ,Pho,Asian (general); Vietnamese,False,False
"Chinese, burgers, wings ",,Chinese; Burgers / Chicken,True,False
Just a bitter variety of outlets and maybe some mix and match options from wider menu options in each outlet,,,False,True
Vegetarian and halal,,Healthy / Veg,True,False
Healthy food,,Healthy / Veg,True,False
Asian,,Asian (general),True,False
"Healthier options eg high protein/veg not always white rice based, authentic Korean, Japanese, Bao buns, Dim Sum",Protein & Veg,Chinese; Asian (general); Japanese; Korean,False,False
More variety from existing restaurant menus,,,False,True
If it's for multiple person I'd like to have options to choose different meals for each person rather than the whole family having save mains. ,,,False,True
Vege or pescaterian ,,,False,True
Child friendly meals,,,False,True
Asian Noodles Fried chicken Pizza ,Noodles; Pizza,Italian; Asian (general),False,False
"Indian, Chinese, Mexican cuisines ",,Chinese; Indian; Mexican,True,False
Just an overall wider range. Things like Nando's would be good.,,Burgers / Chicken,True,False
"American- burgers and chicken, Greek, Turkish, middle eastern",,Middle Eastern; Burgers / Chicken,True,False
"Just more variety from 1 place. Eg. Rather than 4 katsu curry, do 4 different dishes.",South Asian / Indian Curry; Katsu,Indian; Japanese,False,False
Noodles and meat dishes,Noodles,,False,False
Asian e.g. Thai ,,Asian (general); Thai,True,False
Chinese and indian,,Chinese; Indian,True,False
Indian ,,Indian,True,False
"The family deal on wagamamas is mostly good but maybe a mix and match option so if the two kids meals could be changed to other kids options or if the adults ones could be changed. So for example, two mains as Katsu and then the two kids meals raisukaree ",Katsu,Japanese,False,False
"Italian, Mexican, chipper ",,Italian; Mexican,True,False
"Asian, fast food, kfc, mc Donald's",,Asian (general); Burgers / Chicken,True,False
Mexican food ,,Mexican,True,False
Japanese Healthy  Chicken  ,,Asian (general); Japanese; Healthy / Veg,True,False
"Japanese, Korean, Lebanese, Burgers, Mexican, Indian, Desserts",,Indian; Mexican; Middle Eastern; Asian (general); Japanese; Korean; Burgers / Chicken,True,False
"Italian, Indian, Greek, American",,Indian; Italian,True,False
Halal options ,,,False,True
BBQ/skewer plates; soup noodles/ ramen bundle,Noodles,,False,False
Indian,,Indian,True,False
Traditional British food,,British,True,False
"Mexican, Chinese, Caribbean ",,Chinese; Mexican; Caribbean / African,True,False
Asian,,Asian (general),True,False
"Indian, Chinese, sandwiches, Thai food ",,Chinese; Indian; Asian (general); Thai,True,False
Middle eastern,,Middle Eastern,True,False
"Burgers, wings, Koran, Indian, Chinese, sushi ",Sushi,Chinese; Indian; Japanese; Burgers / Chicken,False,False
"Vegetarian, chicken but healthy, pasta with vegetables, Italian, Spanish, Portuguese, British. ",Pasta,Italian; British; Healthy / Veg,False,False
Better range or veggie options ,,,False,True
"-Traditional (leg of lamb potatoes and veg) or a stew or lamb chops. -Portuguese (grilled chicken dinner, spice on the side) - Sushi with a good assortment for adults and children tastes. -Vietnamese: pho noodles or similar with vegetarian option. - Chinese: noodles and a big side dish of veg. - Indian: a healthy curry and lots of chickpeas and lentils.    ",Noodles; South Asian / Indian Curry; Protein & Veg; Pho; Sushi,Chinese; Indian; Asian (general); Japanese; Vietnamese; Healthy / Veg,False,False
Burgers Mix the meals up in wagamama it wouldnt let me Noodle dishes,Noodles,Burgers / Chicken,False,False
More cuisine choices,,,False,True
Just more options that were nearer with shorter delivery time,,,False,True
Chinese Burger options Thai Halal options ,,Chinese; Asian (general); Thai; Burgers / Chicken,True,False
Indian and more Japanese options. Like I have some amazing restaurants I order from in Manchester and having the option to order four meals in £25 would be amazing!,,Indian; Asian (general); Japanese,True,False
It varies based on restaurant ,,,False,True
Traditional dinners.  ,,,False,True
Vietnamese food,,Asian (general); Vietnamese,True,False
Spaghetti and meatball or more Italian food. Even Indian cuisine. All I saw was burgers and pasta.,Pasta,Indian; Italian; Burgers / Chicken,False,False
"Indian, thai",,Indian; Asian (general); Thai,True,False
any ,,,False,True
Anything that can be frozen if it's not all eaten when cooked as I live on my own but want to benefit from this type of deal.,,,False,True
more variety of dishes. Asian dishes,,Asian (general),True,False
"Indian. Turkish, mix of vegetarian and meat versions under same order.",,Indian; Middle Eastern; Healthy / Veg,True,False
Indian ,,Indian,True,False
"Turkish, Indian, Chinese, Japanese ",,Chinese; Indian; Middle Eastern; Asian (general); Japanese,True,False
"Turkish, korean, japanese and more independent names rather than chain brands",,Middle Eastern; Asian (general); Japanese; Korean,True,False
Mix of main dishes ,,,False,True
Healthy options,,Healthy / Veg,True,False
"Turkish cuisine options, and more Chinese restaurant options.",,Chinese; Middle Eastern,True,False
Chinese  Korean Japanese  French Italian,,Chinese; Italian; Asian (general); Japanese; Korean,True,False
Pizza,Pizza,Italian,False,False
More Malaysian cuisine within my area. ,,Asian (general); Malaysian,True,False
A variety of different types and add on options ,,,False,True
Plenty of them already,,,False,True
Laksa is not included in the family offer at banana tree. Maybe indian options too?,,Indian; Malaysian,True,False
