rank,dish_type,priority_score,category,evidence_type,track_a_score,track_b_score,discovery_score,order_volume,avg_rating,repeat_rate,survey_n,latent_demand_mentions,cuisine,gap_type,potential_partners,recommended_action,evidence_flag,adult_satisfaction,kids_happy,source,discovery_reason
1,Salmon Teriyaki Family Platter,5.2,Discover,Discovery,,,5.2,0,,,0.0,0.0,Various,,TBD - based on cuisine,Test Salmon Teriyaki Family Platter with TBD - based on cuisine,Discovery: 5.2/5,,,Smart Discovery,"Healthy protein, balanced with rice and veg"
2,Halloumi Wrap Family Box,5.1,Discover,Discovery,,,5.1,0,,,0.0,0.0,Greek/Mediterranean,,New recruitment needed,Test Halloumi Wrap Family Box with New recruitment needed,Discovery: 5.1/5,,,Smart Discovery,"Vegetarian protein, kid-friendly, easy to portion"
3,Souvlaki Family Platter,5.1,Discover,Discovery,,,5.1,0,,,0.0,0.0,Greek/Mediterranean,,New recruitment needed,Test Souvlaki Family Platter with New recruitment needed,Discovery: 5.1/5,,,Smart Discovery,Grilled protein + pitta + salad = balanced midweek meal
4,Chicken,5.0,Expand,Measured,5.0,,,11417,4.55,,,,Global,,,Roll out Chicken to more zones - proven performer,Performance: 5.0/5 | Orders: 11417,,,Track A,
5,Rotisserie Chicken Family Feast,4.95,Discover,Discovery,,,4.95,0,,,0.0,0.0,Healthy/Fresh,,Farmer J,Test Rotisserie Chicken Family Feast with Farmer J,Discovery: 5.0/5,,,Smart Discovery,"Classic family meal, balanced with veg sides, high value perception"
6,Grilled Chicken Family Platter with Sides,4.95,Discover,Discovery,,,4.95,0,,,0.0,0.0,Healthy/Fresh,,Farmer J,Test Grilled Chicken Family Platter with Sides with Farmer J,Discovery: 5.0/5,,,Smart Discovery,"Perfect fit for balanced midweek - grilled protein, customizable sides"
7,Fajita Family Kit,4.95,Discover,Discovery,,,4.95,0,,,0.0,0.0,Mexican,,Tortilla,Test Fajita Family Kit with Tortilla,Discovery: 5.0/5,,,Smart Discovery,Build-your-own format perfect for families with fussy eaters
8,Kids Ramen & Adult Ramen Combo,4.95,Discover,Discovery,,,4.95,0,,,0.0,0.0,Japanese/Asian,,Wagamama,Test Kids Ramen & Adult Ramen Combo with Wagamama,Discovery: 5.0/5,,,Smart Discovery,"Mild ramen for kids, spicy for adults - solves fussy eater problem"
9,Plain Pasta with Sides Family Bundle,4.87,Discover,Discovery,,,4.87,0,,,0.0,0.0,Various,,TBD - based on cuisine,Test Plain Pasta with Sides Family Bundle with TBD - based on cuisine,Discovery: 4.9/5,,,Smart Discovery,"Ultra-plain option for fussiest eaters, sides for everyone else"
10,Paneer Tikka Family Feast,4.87,Discover,Discovery,,,4.87,0,,,0.0,0.0,Various,,TBD - based on cuisine,Test Paneer Tikka Family Feast with TBD - based on cuisine,Discovery: 4.9/5,,,Smart Discovery,"Indian vegetarian protein, shareable"
11,Veggie Fajita Family Kit,4.87,Discover,Discovery,,,4.87,0,,,0.0,0.0,Various,,TBD - based on cuisine,Test Veggie Fajita Family Kit with TBD - based on cuisine,Discovery: 4.9/5,,,Smart Discovery,Build-your-own with veggie protein options
12,Halloumi Wrap Family Bundle,4.87,Discover,Discovery,,,4.87,0,,,0.0,0.0,Various,,TBD - based on cuisine,Test Halloumi Wrap Family Bundle with TBD - based on cuisine,Discovery: 4.9/5,,,Smart Discovery,"Vegetarian protein that kids like, easy to portion"
13,Grilled Chicken with Customizable Sides,4.87,Discover,Discovery,,,4.87,0,,,0.0,0.0,Various,,TBD - based on cuisine,Test Grilled Chicken with Customizable Sides with TBD - based on cuisine,Discovery: 4.9/5,,,Smart Discovery,"Protein + veg + carbs, customizable for each family member"
14,Dim Sum Family Selection,4.85,Discover,Discovery,,,4.85,0,,,0.0,0.0,Chinese,,New recruitment needed,Test Dim Sum Family Selection with New recruitment needed,Discovery: 4.8/5,,,Smart Discovery,"Shareable, variety for different tastes, fun for families"
15,Shawarma Family Platter,4.85,Discover,Discovery,,,4.85,0,,,0.0,0.0,Middle Eastern,,New recruitment needed,Test Shawarma Family Platter with New recruitment needed,Discovery: 4.8/5,,,Smart Discovery,"Grilled meat, fresh salads, balanced"
16,Greek Mezze Family Feast,4.85,Discover,Discovery,,,4.85,0,,,0.0,0.0,Greek/Mediterranean,,New recruitment needed,Test Greek Mezze Family Feast with New recruitment needed,Discovery: 4.8/5,,,Smart Discovery,"Shareable, variety, includes veggie options"
17,Build Your Own Grain Bowl Family Pack,4.7,Discover,Discovery,,,4.7,0,,,0.0,0.0,Healthy/Fresh,,Farmer J,Test Build Your Own Grain Bowl Family Pack with Farmer J,Discovery: 4.7/5,,,Smart Discovery,"Healthy, customizable - each family member picks toppings"
18,Vietnamese Rice Paper Rolls Family Pack,4.7,Discover,Discovery,,,4.7,0,,,0.0,0.0,Vietnamese,,Pho,Test Vietnamese Rice Paper Rolls Family Pack with Pho,Discovery: 4.7/5,,,Smart Discovery,"Healthy, fun for kids to eat, shareable - fits balanced midweek positioning"
19,Teriyaki Salmon Family Platter,4.7,Discover,Discovery,,,4.7,0,,,0.0,0.0,Japanese/Asian,,Wagamama,Test Teriyaki Salmon Family Platter with Wagamama,Discovery: 4.7/5,,,Smart Discovery,"Healthy protein option, balanced with rice and veg - fits midweek positioning"
20,Quesadilla Family Pack,4.7,Discover,Discovery,,,4.7,0,,,0.0,0.0,Mexican,,Tortilla,Test Quesadilla Family Pack with Tortilla,Discovery: 4.7/5,,,Smart Discovery,"Kid-favorite, easy to share, cheese is universally loved"
21,Butter Chicken Family Feast,4.7,Discover,Discovery,,,4.7,0,,,0.0,0.0,Indian,,Dishoom,Test Butter Chicken Family Feast with Dishoom,Discovery: 4.7/5,,,Smart Discovery,"Mild, creamy curry that kids love - Dishoom quality would elevate this"
22,Falafel & Hummus Family Box,4.6,Discover,Discovery,,,4.6,0,,,0.0,0.0,Middle Eastern,,New recruitment needed,Test Falafel & Hummus Family Box with New recruitment needed,Discovery: 4.6/5,,,Smart Discovery,"Vegetarian option, healthy perception, shareable"
23,Chicken & Rice Plain Family Meal,4.53,Discover,Discovery,,,4.53,0,,,0.0,0.0,Various,,TBD - based on cuisine,Test Chicken & Rice Plain Family Meal with TBD - based on cuisine,Discovery: 4.5/5,,,Smart Discovery,"Simple, mild, universally acceptable"
24,Biryani Family Pot,4.45,Discover,Discovery,,,4.45,0,,,0.0,0.0,Indian,,Dishoom,Test Biryani Family Pot with Dishoom,Discovery: 4.5/5,,,Smart Discovery,Dishoom has the kitchen capability for biryani - premium rice dish fits their brand
25,Roast Dinner Family Platter,4.45,Discover,Discovery,,,4.45,0,,,0.0,0.0,British,,Bill's,Test Roast Dinner Family Platter with Bill's,Discovery: 4.5/5,,,Smart Discovery,"British classic, high latent demand, balanced meal"
26,Veggie Burrito Bowl Family Bundle,4.45,Discover,Discovery,,,4.45,0,,,0.0,0.0,Mexican,,Tortilla,Test Veggie Burrito Bowl Family Bundle with Tortilla,Discovery: 4.5/5,,,Smart Discovery,"Addresses vegetarian gap, customizable, balanced"
27,Teriyaki Rice Bowl Family Bundle,4.45,Discover,Discovery,,,4.45,0,,,0.0,0.0,Japanese/Healthy,,Itsu,Test Teriyaki Rice Bowl Family Bundle with Itsu,Discovery: 4.5/5,,,Smart Discovery,"Mild teriyaki is kid-friendly, rice bowls easy to portion"
28,Sushi Family Platter,4.45,Discover,Discovery,,,4.45,0,,,0.0,0.0,Japanese/Healthy,,Itsu,Test Sushi Family Platter with Itsu,Discovery: 4.5/5,,,Smart Discovery,"Mix of kid-friendly (cucumber, avocado) and adult options"
29,Katsu Curry Family Bundle,4.45,Discover,Discovery,,,4.45,0,,,0.0,0.0,Japanese/Asian,,Wagamama,Test Katsu Curry Family Bundle with Wagamama,Discovery: 4.5/5,,,Smart Discovery,Already top performer - family bundle format would increase value
30,Pho Family Sharing Bowl,4.45,Discover,Discovery,,,4.45,0,,,0.0,0.0,Vietnamese,,Pho,Test Pho Family Sharing Bowl with Pho,Discovery: 4.5/5,,,Smart Discovery,"Large format pho for family sharing - already popular, just needs family sizing"
31,Chicken Chow Mein Family Bundle,4.35,Discover,Discovery,,,4.35,0,,,0.0,0.0,Chinese,,New recruitment needed,Test Chicken Chow Mein Family Bundle with New recruitment needed,Discovery: 4.3/5,,,Smart Discovery,"Familiar noodles, mild, kid-friendly"
32,Sweet & Sour Chicken Family Meal,4.35,Discover,Discovery,,,4.35,0,,,0.0,0.0,Chinese,,New recruitment needed,Test Sweet & Sour Chicken Family Meal with New recruitment needed,Discovery: 4.3/5,,,Smart Discovery,"Classic kid-friendly Chinese, high latent demand"
33,Chicken Pie with Mash & Veg,4.2,Discover,Discovery,,,4.2,0,,,0.0,0.0,British,,Bill's,Test Chicken Pie with Mash & Veg with Bill's,Discovery: 4.2/5,,,Smart Discovery,"Comfort food, balanced with veg, easy to share"
34,Banh Mi Family Box,4.2,Discover,Discovery,,,4.2,0,,,0.0,0.0,Vietnamese,,Pho,Test Banh Mi Family Box with Pho,Discovery: 4.2/5,,,Smart Discovery,"Sandwiches are kid-friendly, easy to customize for fussy eaters"
35,Chicken Tikka Wrap Box,4.2,Discover,Discovery,,,4.2,0,,,0.0,0.0,Indian,,Dishoom,Test Chicken Tikka Wrap Box with Dishoom,Discovery: 4.2/5,,,Smart Discovery,"Wraps are easy to portion for families, tikka is kid-friendly"
36,Pad Thai,4.14,Expand,Measured,4.64,3.4,,2370,4.54,,52.0,37.0,Thai,No Gap,Banana Tree,Roll out Pad Thai to more zones - proven performer,Performance: 4.6/5 | Opportunity: 3.4/5 | Survey n=52 | Orders: 2370,0.92,0.79,Track A,
37,Biryani,4.12,Expand,Measured,5.0,2.8,,458,4.53,,,7.0,Indian,No Gap,Dishoom,Roll out Biryani to more zones - proven performer,Performance: 5.0/5 | Opportunity: 2.8/5 | Orders: 458,,,Track A,
38,Fried Rice,4.06,Expand,Measured,4.57,3.3,,2430,4.46,,16.0,0.0,Chinese,Supply Gap,"Pho, Wagamama, Itsu",Roll out Fried Rice to more zones - proven performer,Performance: 4.6/5 | Opportunity: 3.3/5 | Survey n=16 | Orders: 2430,0.94,0.88,Track A,
39,Chinese Family Meal,3.96,Recruit,Opportunity,,3.96,,31,,,0.0,58.0,Chinese,Supply Gap,New recruitment needed,Recruit partners to offer Chinese Family Meal (try: New recruitment needed),Opportunity: 4.0/5 | Orders: 31,,,Track B,
40,Thai Green Curry Family Pot (Mild),3.95,Discover,Discovery,,,3.95,0,,,0.0,0.0,Thai/Southeast Asian,,Banana Tree,Test Thai Green Curry Family Pot (Mild) with Banana Tree,Discovery: 4.0/5,,,Smart Discovery,"Mild version for families, coconut base is kid-friendly"
41,Pad Thai Family Bundle,3.95,Discover,Discovery,,,3.95,0,,,0.0,0.0,Thai/Southeast Asian,,Banana Tree,Test Pad Thai Family Bundle with Banana Tree,Discovery: 4.0/5,,,Smart Discovery,"Mild noodle dish, popular with kids, easy to share"
42,Fish & Chips Family Bucket,3.95,Discover,Discovery,,,3.95,0,,,0.0,0.0,British,,Bill's,Test Fish & Chips Family Bucket with Bill's,Discovery: 4.0/5,,,Smart Discovery,"British staple, high latent demand, kid-friendly"
43,Sushi,3.87,Expand,Measured,4.43,3.02,,1043,4.7,,29.0,12.0,Japanese,No Gap,"Itsu, Iro Sushi",Roll out Sushi to more zones - proven performer,Performance: 4.4/5 | Opportunity: 3.0/5 | Survey n=29 | Orders: 1043,0.93,0.65,Track A,
44,Rice Bowl,3.76,Expand,Measured,4.36,2.86,,3139,4.39,,27.0,0.0,Healthy/Fresh,No Gap,"Pho, Wagamama, Itsu, Farmer J",Roll out Rice Bowl to more zones - proven performer,Performance: 4.4/5 | Opportunity: 2.9/5 | Survey n=27 | Orders: 3139,0.85,0.95,Track A,
45,Noodles,3.74,Expand,Measured,4.43,2.7,,3307,4.57,,62.0,0.0,Global,No Gap,"Pho, Wagamama, Itsu, Banana Tree",Roll out Noodles to more zones - proven performer,Performance: 4.4/5 | Opportunity: 2.7/5 | Survey n=62 | Orders: 3307,0.87,0.72,Track A,
46,Shawarma,3.71,Expand,Measured,4.43,2.62,,1355,4.68,,24.0,0.0,Middle Eastern,Supply Gap,New recruitment needed,Roll out Shawarma to more zones - proven performer,Performance: 4.4/5 | Opportunity: 2.6/5 | Survey n=24 | Orders: 1355,0.88,0.8,Track A,
47,Pho,3.7,Expand,Measured,4.64,2.29,,4530,4.54,,131.0,0.0,Vietnamese,No Gap,Pho,Roll out Pho to more zones - proven performer,Performance: 4.6/5 | Opportunity: 2.3/5 | Survey n=131 | Orders: 4530,0.95,0.84,Track A,
48,Fajitas,3.69,Expand,Measured,4.36,2.69,,595,4.15,,18.0,0.0,Mexican,Quality Gap,Tortilla,Roll out Fajitas to more zones - proven performer,Performance: 4.4/5 | Opportunity: 2.7/5 | Survey n=18 | Orders: 595,0.94,0.83,Track A,
49,Lasagne,3.56,Expand,Measured,4.0,2.9,,1099,4.17,,,25.0,Italian,No Gap,New recruitment needed,Roll out Lasagne to more zones - proven performer,Performance: 4.0/5 | Opportunity: 2.9/5 | Orders: 1099,,,Track A,
50,Mac & Cheese,3.45,Expand,Measured,4.29,2.19,,1307,4.51,,23.0,0.0,Global,No Gap,New recruitment needed,Roll out Mac & Cheese to more zones - proven performer,Performance: 4.3/5 | Opportunity: 2.2/5 | Survey n=23 | Orders: 1307,0.87,0.81,Track A,
51,Roast Dinner,3.45,Monitor,Opportunity,,3.45,,287,,,0.0,34.0,British,No Gap,Bill's,Monitor Roast Dinner for changes in demand,Opportunity: 3.5/5 | Orders: 287,,,Track B,
52,Butter Chicken,3.42,Expand,Measured,4.0,2.56,,365,4.0,,,0.0,Indian,No Gap,"Dishoom, Farmer J",Roll out Butter Chicken to more zones - proven performer,Performance: 4.0/5 | Opportunity: 2.6/5 | Orders: 365,,,Track A,
53,Curry,3.39,Expand,Measured,4.0,2.48,,4949,4.45,,,0.0,Indian,No Gap,"Dishoom, Banana Tree",Roll out Curry to more zones - proven performer,Performance: 4.0/5 | Opportunity: 2.5/5 | Orders: 4949,,,Track A,
54,Fish & Chips,3.33,Monitor,Opportunity,,3.33,,32,,,0.0,39.0,Global,No Gap,New recruitment needed,Monitor Fish & Chips for changes in demand,Opportunity: 3.3/5 | Orders: 32,,,Track B,
55,Salad,3.32,Expand,Measured,4.0,2.31,,1089,4.47,,,0.0,Healthy/Fresh,No Gap,Farmer J,Roll out Salad to more zones - proven performer,Performance: 4.0/5 | Opportunity: 2.3/5 | Orders: 1089,,,Track A,
56,Grilled Chicken with Sides,3.3,Monitor,Opportunity,,3.3,,540,,,0.0,18.0,Global,No Gap,Farmer J,Monitor Grilled Chicken with Sides for changes in demand,Opportunity: 3.3/5 | Orders: 540,,,Track B,
57,Teriyaki,3.28,Expand,Measured,4.0,2.2,,394,4.0,,,0.0,Japanese,No Gap,Wagamama,Roll out Teriyaki to more zones - proven performer,Performance: 4.0/5 | Opportunity: 2.2/5 | Orders: 394,,,Track A,
58,Katsu,3.24,Fix,Measured,3.86,2.32,,11686,4.29,,57.0,0.0,Japanese,No Gap,Wagamama,Improve Katsu quality or deprioritize,Performance: 3.9/5 | Opportunity: 2.3/5 | Survey n=57 | Orders: 11686,0.81,0.78,Track A,
59,Pasta,3.15,Fix,Measured,3.79,2.2,,1340,4.28,,56.0,0.0,Italian,No Gap,New recruitment needed,Improve Pasta quality or deprioritize,Performance: 3.8/5 | Opportunity: 2.2/5 | Survey n=56 | Orders: 1340,0.75,0.82,Track A,
60,Shepherd's Pie,3.1,Monitor,Opportunity,,3.1,,333,,,0.0,17.0,British,No Gap,Bill's,Monitor Shepherd's Pie for changes in demand,Opportunity: 3.1/5 | Orders: 333,,,Track B,
61,Stir Fry,3.03,Monitor,Measured,3.71,2.0,,61,4.4,,3.0,0.0,Global,No Gap,New recruitment needed,Monitor Stir Fry for changes in demand,Performance: 3.7/5 | Opportunity: 2.0/5 | Survey n=3 | Orders: 61,0.33,0.0,Track A,
62,Korean Fried Chicken,3.02,Monitor,Opportunity,,3.02,,398,,,0.0,8.0,Korean,No Gap,Farmer J,Monitor Korean Fried Chicken for changes in demand,Opportunity: 3.0/5 | Orders: 398,,,Track B,
63,Pizza,2.98,Fix,Measured,3.36,2.42,,400,3.84,,94.0,0.0,Italian,No Gap,Franco Manca,Improve Pizza quality or deprioritize,Performance: 3.4/5 | Opportunity: 2.4/5 | Survey n=94 | Orders: 400,0.76,0.74,Track A,
64,Tacos,2.84,Monitor,Measured,3.0,2.6,,92,3.67,,,0.0,Mexican,Quality Gap,Tortilla,Monitor Tacos for changes in demand,Performance: 3.0/5 | Opportunity: 2.6/5 | Orders: 92,,,Track A,
65,Veggie Fajitas,2.72,Monitor,Opportunity,,2.72,,333,,,0.0,0.0,Mexican,Quality Gap,Tortilla,Monitor Veggie Fajitas for changes in demand,Opportunity: 2.7/5 | Orders: 333,,,Track B,
66,Ramen,2.7,Monitor,Measured,3.0,2.25,,223,3.76,,,0.0,Japanese,No Gap,Wagamama,Monitor Ramen for changes in demand,Performance: 3.0/5 | Opportunity: 2.2/5 | Orders: 223,,,Track A,
67,Greek Mezze,2.66,Monitor,Opportunity,,2.66,,7,,,0.0,6.0,Greek,No Gap,New recruitment needed,Monitor Greek Mezze for changes in demand,Opportunity: 2.7/5 | Orders: 7,,,Track B,
68,Dim Sum,2.63,Monitor,Opportunity,,2.63,,0,,,0.0,0.0,Chinese,Supply Gap,New recruitment needed,Monitor Dim Sum for changes in demand,Opportunity: 2.6/5,,,Track B,
69,Burrito,2.63,Monitor,Opportunity,,2.63,,3,,,0.0,0.0,Mexican,Quality Gap,Tortilla,Monitor Burrito for changes in demand,Opportunity: 2.6/5 | Orders: 3,,,Track B,
70,Quesadilla,2.6,Monitor,Opportunity,,2.6,,57,,,0.0,0.0,Mexican,Quality Gap,Tortilla,Monitor Quesadilla for changes in demand,Opportunity: 2.6/5 | Orders: 57,,,Track B,
71,Chicken Pie,2.56,Monitor,Opportunity,,2.56,,34506,,,0.0,0.0,British,No Gap,"Farmer J, Bill's",Monitor Chicken Pie for changes in demand,Opportunity: 2.6/5 | Orders: 34506,,,Track B,
72,Halloumi Wrap,2.49,Monitor,Opportunity,,2.49,,161,,,0.0,3.0,Global,No Gap,New recruitment needed,Monitor Halloumi Wrap for changes in demand,Opportunity: 2.5/5 | Orders: 161,,,Track B,
73,Grain Bowl,2.4,Monitor,Opportunity,,2.4,,192,,,0.0,0.0,Healthy/Fresh,No Gap,Farmer J,Monitor Grain Bowl for changes in demand,Opportunity: 2.4/5 | Orders: 192,,,Track B,
74,Poke Bowl,2.4,Monitor,Opportunity,,2.4,,39,,,0.0,0.0,Healthy/Fresh,No Gap,Farmer J,Monitor Poke Bowl for changes in demand,Opportunity: 2.4/5 | Orders: 39,,,Track B,
75,Buddha Bowl,2.4,Monitor,Opportunity,,2.4,,0,,,0.0,0.0,Healthy/Fresh,No Gap,Farmer J,Monitor Buddha Bowl for changes in demand,Opportunity: 2.4/5,,,Track B,
76,Sweet & Sour Chicken,2.37,Monitor,Opportunity,,2.37,,1081,,,0.0,0.0,Global,No Gap,Farmer J,Monitor Sweet & Sour Chicken for changes in demand,Opportunity: 2.4/5 | Orders: 1081,,,Track B,
77,Rotisserie Chicken,2.37,Monitor,Opportunity,,2.37,,0,,,0.0,0.0,Global,No Gap,Farmer J,Monitor Rotisserie Chicken for changes in demand,Opportunity: 2.4/5,,,Track B,
78,Bowl,2.37,Monitor,Opportunity,,2.37,,4517,,,0.0,0.0,Healthy/Fresh,No Gap,Farmer J,Monitor Bowl for changes in demand,Opportunity: 2.4/5 | Orders: 4517,,,Track B,
79,Korma,2.2,Monitor,Opportunity,,2.2,,0,,,0.0,0.0,Indian,No Gap,Dishoom,Monitor Korma for changes in demand,Opportunity: 2.2/5,,,Track B,
80,Tikka Masala,2.2,Monitor,Opportunity,,2.2,,19,,,0.0,0.0,Indian,No Gap,Dishoom,Monitor Tikka Masala for changes in demand,Opportunity: 2.2/5 | Orders: 19,,,Track B,
81,Cottage Pie,2.2,Monitor,Opportunity,,2.2,,0,,,0.0,0.0,British,No Gap,Bill's,Monitor Cottage Pie for changes in demand,Opportunity: 2.2/5,,,Track B,
82,Wrap,2.16,Monitor,Opportunity,,2.16,,44,,,0.0,0.0,Global,No Gap,New recruitment needed,Monitor Wrap for changes in demand,Opportunity: 2.2/5 | Orders: 44,,,Track B,
83,Burger,2.16,Monitor,Opportunity,,2.16,,61,,,0.0,0.0,American,No Gap,Bill's,Monitor Burger for changes in demand,Opportunity: 2.2/5 | Orders: 61,,,Track B,
84,Bangers & Mash,2.0,Monitor,Opportunity,,2.0,,0,,,0.0,0.0,British,No Gap,New recruitment needed,Monitor Bangers & Mash for changes in demand,Opportunity: 2.0/5,,,Track B,
85,Souvlaki,2.0,Monitor,Opportunity,,2.0,,0,,,0.0,0.0,Greek,No Gap,New recruitment needed,Monitor Souvlaki for changes in demand,Opportunity: 2.0/5,,,Track B,
86,Bibimbap,2.0,Monitor,Opportunity,,2.0,,0,,,0.0,0.0,Korean,No Gap,New recruitment needed,Monitor Bibimbap for changes in demand,Opportunity: 2.0/5,,,Track B,
