high_level_dish,family_rank,family_score,kids_happy,fussy_eater_friendly,total_orders,adult_satisfaction,portions_adequate,item_count,partners,granular_types,items_sample
Rice Bowl,1,4.45,0.8284313725490197,5.0,246,0.860655737704918,0.7950819672131147,21,"Banana Tree, Giggling Squid, Itsu, Kokoro, Pho, TUK TUK-SGroup, Taste Of Hong Kong-DCN, Xian Street Food, Zumuku","Other Rice Bowl, Sweet & Sour Rice Bowl, Teriyaki Rice Bowl, Teriyaki Rice Bowl Sweet Chilli Rice Bowl Sweet & Sour Rice Bowl Korean Chilli Rice Bowl, Thai Rice Bowl Teriyaki Rice Bowl","Mix n Match Rice Bowl Bundle For Four, Teriyaki Rice Bowl Bundle For Four, Firecracker Chicken Rice Bowl Bundle For Four, Family Sticky Chicken/NO Chicken Bundle, hot faves family bundle (+16 more)"
South Asian / Indian Curry,2,3.95,0.7991266375545851,5.0,325,0.945337620578778,0.8279220779220778,13,"Chaska, Dishoom, Kricket, Saravana Bhavan, Tadka House, Tiffin Tin","Aloo Mutter Curry, Butter Chicken Curry, Mattar Paneer Curry, Other Curry, Tikka Masala Curry","Home-Style Butter Chicken Meal ( 16oz Butter Chicken 12oz Tadka Dal 1 Jeera Aloo and 2 Portion Fluffy Rice), Veg Family Feast ( 16oz paneer labaabdaar 12oz dal tadka 1 jeera aloo and 2 portion rice), Dishoom Chicken Ruby - for the family, Dishoom Mattar Paneer - for the family, Butter Chicken (+8 more)"
Noodles,2,3.95,0.7816901408450704,4.0,412,0.9152119700748128,0.8075,13,"Asia Villa, Banana Tree, Iro Sushi, Itsu, Kokoro, Pho, SOYO-SGroup, Ting Thai, Zumuku","Chow Mein, Egg Fried Noodles, Korean Noodles Teriyaki Noodles Noodle Soup, Pad Thai, Rice Noodles, Teriyaki Noodles Sweet Chilli Noodles Sweet Sour Noodles Korean Chilli Noodles, Wok-Fried Noodles, Yakisoba","hot faves family bundle, Kokoro Family Bundle, 4x Traditional Chow Mein with Sweet Chili Chicken, 4x Family Style Phad Thai with Korean Chicken, 4x Family Style Egg Fried Noodle with Korean Chicken (+8 more)"
Fried Rice,4,3.85,0.8,4.0,342,0.9054878048780488,0.8929663608562691,5,"Asia Villa, Pho, TUK TUK-SGroup, Xian Street Food","Special Fried Rice, Stir-Fried Rice, Sweet & Sour Fried Rice, Wok-Fried Rice","4x Asia Villa Special Fried Rice with Salt and Pepper Chicken, Sweet and Sour Chicken & Egg Fried Rice, Chicken Fried Rice Family Meal (Chicken Stir-Fried Rice + Chilli Garlic Broccoli + Small Crispy Chilli Chicken), Chicken Fried Rice Family Meal ( Chicken Stir-Fried Rice + Chilli Garlic Broccoli + Small Crispy Chilli Chicken), Fresh from the wok"
Pasta,5,3.65,0.8205128205128205,5.0,78,0.7948717948717948,0.7564102564102564,23,"Bella Italia, Bill's, Cacciari's, Milano, PIZAZA-SGroup, PizzaExpress, Prezzo, SOYO-SGroup","Alfredo, Bolognese, Lasagne Mac & Cheese Rigatoni Alfredo, Lasagne Penne, Mac & Cheese, Pasta Bake, Penne, Rigatoni, Rigatoni Carbonara, Rose Pasta","Family Favourites Feast, Mix & Match Family Bundle, Chicken Alfredo Family Bundle, Mac & Cheese Family Bundle, Tomato & Red Pepper Rigatoni Family Bundle (+18 more)"
Pho,5,3.65,0.8032786885245902,3.0,514,0.9066937119675456,0.8782961460446247,1,Pho,Pho,Pho the whole fam
Protein & Veg,7,3.55,1.0,5.0,6,0.8333333333333334,0.6666666666666666,4,"Cocotte, Shaku Maku",Protein & Veg,"Family Feast One, Family Feast Two, Family Veggie Feast, Grill & Mezze Family Feast (Grilled Chicken + chicken rolls + fatoush salad + hummus + baba ghanoush with bread and rice)"
Other,8,3.35,0.7127659574468085,5.0,131,0.888,0.784,4,"Shaku Maku, TUK TUK-SGroup, Umi Falafel, Zaatar Rathmines","Chicken Wings, Maqluba, Mezze, Other","Shaku Maku Family Platter (Maqluba + chicken rolls + fatoush salad + hummus + baba ghanoush with bread), Wings Fries & Beansprout Salad, Family Mezze Feast ( Lentil soup + hummus + baba ghanoush + 20pc falafel +Haloumi sticks + bread and tahini sauce ), Pizza Feast ( Cheese & Zaatar manaeesh + Margharita pizza + hummus + tabouleh)"
Biryani,9,3.2500000000000004,1.0,3.0,7,1.0,0.7142857142857143,6,"Chaska, Dishoom, Tadka House",Biryani,"Chicken Biryani For The Table ( 2portions Chicken Biryani served with Dal Raita and Papads ), Chicken Biryani For The Table, Veg Biryani For The Table ( 2portions Biryani served with Dal Raita and Papads ), Chicken Berry Britannia - for the family, Awadhi Jackfruit Biryani - for the family (+1 more)"
Grain Bowl,9,3.2500000000000004,0.8043478260869565,3.0,60,0.9152542372881356,0.7288135593220338,17,"Farmer J, LEON, Remedy Kitchen, The Salad Project, Yacob's Kitchen, atis","Grain Bowl, Shawarma","Build Your Own Family Feast, Chicken Family Feast, Tofu Family Feast, Family Chicken Dinner, Mix & Match Family Dinner (+12 more)"
Fajitas,11,3.25,1.0,3.0,19,0.8947368421052632,0.631578947368421,3,Las Iguanas,Fajitas,"Fajitas Family of Three Bundle, Fajitas Family of Four Bundle, Mixed Bundle For Four"
Katsu,12,2.9499999999999997,0.7806004618937644,4.0,357,0.8405797101449275,0.7034883720930233,9,"Banana Tree, Iro Sushi, Itsu, Kokoro, Wagamama, Zumuku, Zumuku Sushi",Katsu,"little rice'bowls family bundle, hot faves family bundle, Katsu Rice Bowl Bundle For Four, Katsu Family Feast, Kokoro Family Bundle (+4 more)"
Shepherd's Pie,13,2.7,1.0,3.0,4,0.75,0.75,1,Bill's,Shepherd's Pie,Family Shepherd's Pie
Pizza,14,2.6,0.7288135593220338,5.0,47,0.7659574468085106,0.9787234042553192,5,"Milano, PizzaExpress, Prezzo",Pizza,"Family Favourites Feast, Family Pizza Feast, Family Favourites Feast, Family Pizza Feast, Family Dinneroo"
Quesadilla,14,2.6,1.0,3.0,3,0.6666666666666666,0.0,1,Tula Ireland,Quesadilla,Family Quesadilla Dinneroo Feast
East Asian Curry,16,2.5500000000000003,0.8,3.0,120,0.8596491228070176,0.7280701754385965,11,"Asia Villa, Bill's, Giggling Squid, Pho, Ting Thai, Wagamama, Zumuku","Massaman Curry, Other Curry, Raisukare Curry, Thai Green Curry, Thai Green Curry Thai Red Curry, Yellow Curry","4x Massaman Curry with Rice and Tofu, Family Chicken Thai Green Curry, Family Cauliflower Thai Green Curry, Family Thai Curry Bundle, Family Spicy Bundle (+6 more)"
Sushi,17,2.1,0.6923076923076923,3.0,136,0.8650793650793651,0.9603174603174603,1,Itsu,Sushi,sushi family feast
Shawarma,18,1.95,0.7333333333333333,3.0,23,0.8695652173913043,0.7391304347826086,3,Bill's,Shawarma,"Family Chicken Shawarma, Family Halloumi Shawarma, Family Shiitake Mushroom Shawarma"
Poke,19,1.75,,3.0,6,1.0,0.8333333333333334,1,Itsu,Poke,poke'bowl family selection
Chilli,20,1.5500000000000005,0.7,3.0,102,0.826530612244898,0.6145833333333334,3,Las Iguanas,Chilli,"Mixed Bundle For Four, Chilli Bundle for Three, Chilli Bundle for Four"
Lasagne,21,1.2999999999999998,0.7,3.0,37,0.7567567567567568,0.7567567567567568,3,"Bella Italia, Cacciari's, SOYO-SGroup",Lasagne,"Lasagne Family Bundle, Lasagna Suitable for a Family of 4, Family Roasted Vegetable lasagne"
